orte_verknuepfungenId,ortsId,verknuepfungsArtId,eintrag
25,8,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2653.741528139743!2d15.415632615802522!3d48.307822347266885!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772628d64b19e33%3A0x9c29d38dba786027!2sAggstein%2C+3642+Aggstein!5e0!3m2!1sde!2sat!4v1501683455878"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
26,1008,1,http://d-nb.info/gnd/4084785-8
27,1008,2,https://de.wikipedia.org/wiki/Sch%C3%B6nb%C3%BChel-Aggsbach
28,1008,3,https://goo.gl/maps/9bUAymozZYm
29,1008,4,http://www.geonames.org/maps/google_48.294_15.415.html
30,1008,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42482.585599810845!2d15.371480710103931!3d48.28050685372857!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47726322896be619%3A0xa6e83a333ea93b28!2sGemeinde+Sch%C3%B6nb%C3%BChel-Aggsbach!5e0!3m2!1sde!2sat!4v1501685636490"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
32,7,4,http://www.geonames.org/2782955/aggsbach.html
33,7,3,https://goo.gl/maps/k3pSgb6GqUw
34,7,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10617.852558015067!2d15.394755243471064!3d48.29394339380922!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772625036086039%3A0x739735920e1f2961!2s3641+Aggsbach+Markt!5e0!3m2!1sde!2sat!4v1517400842636"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
35,11,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=704478951&INDEXSET=21
36,11,1,http://d-nb.info/gnd/4457413-7
37,11,4,"http://www.geonames.org/2782817/albrechtsberg-an-der-grossen-krems.html
"
38,11,3,https://goo.gl/maps/bXMdjJKNkHm
39,11,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2645.714491275476!2d15.364872115806742!3d48.46200733648749!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47728d0688ac56b7%3A0x48c36a75dc20d987!2s3613+Albrechtsberg+an+der+Gro%C3%9Fen+Krems!5e0!3m2!1sde!2sat!4v1502126050761"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
40,14,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106397184&INDEXSET=21
41,14,1,http://d-nb.info/gnd/4001411-3
42,14,4,"http://www.geonames.org/2782697/altenburg.html
"
43,14,3,https://goo.gl/maps/fD7NT1QnE522
44,14,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42179.068380335324!2d15.542835662648526!3d48.64444640382924!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772bd9a2ff0788b%3A0xd3419571df0b93e7!2sGemeinde+Altenburg!5e0!3m2!1sde!2sat!4v1502128588365"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
47,17,4,http://www.geonames.org/2780946/dietrichsbach.html
48,17,3,"https://goo.gl/maps/ESy4UyWySCx
"
49,17,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d21167.21224840627!2d14.93157312818278!3d48.45841882497514!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772fee5d3c4a1c9%3A0xe9448d55abd17333!2s3925+Dietrichsbach!5e0!3m2!1sde!2sat!4v1502283126269"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
50,16,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=703028901&INDEXSET=21
51,16,1,http://d-nb.info/gnd/4211483-4
52,16,4,http://www.geonames.org/2782665/altenwoerth.html
53,16,3,"https://goo.gl/maps/NQ8pmMWAJ8k
"
54,16,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3156.894812706124!2d15.858981315804582!3d48.38508354186851!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d7b7873d2f18b%3A0xc80d780b65a92499!2s3474+Altenw%C3%B6rth!5e1!3m2!1sde!2sat!4v1502284370053"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
55,15,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=704172690&INDEXSET=21
56,15,1,http://d-nb.info/gnd/4404926-2
57,15,4,"http://www.geonames.org/2782679/altenmarkt-an-der-triesting.html
"
58,15,3,https://goo.gl/maps/sgyihCfG9TR2
59,15,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d284145.14119744924!2d15.773070914836188!3d48.16175225512608!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476dbdf678b6b4c9%3A0x2d6d9f65ef2b31b6!2s2571+Altenmarkt+an+der+Triesting!5e0!3m2!1sde!2sat!4v1502300782813"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
60,729,6,https://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=707030803&INDEXSET=21
61,729,1,http://d-nb.info/gnd/4813922-1
62,729,4,https://www.geonames.org/2766956/ruppersthal.html
63,729,3,https://goo.gl/maps/TKtqnAe6Pix6BYbq6
64,729,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10581.652439291172!2d15.935355246663242!3d48.467789168017205!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d644d88f1d3a1%3A0x19c5d592788a3f04!2s3701%20Ruppersthal!5e0!3m2!1sde!2sat!4v1621001097917!5m2!1sde!2sat"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
65,18,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=704659190&INDEXSET=21
66,18,1,"http://d-nb.info/gnd/4482479-8
"
67,18,4,"http://www.geonames.org/2782624/altpoella.html
"
68,18,3,https://goo.gl/maps/xUTBtPcvUoL2
69,18,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10549.140997526301!2d15.464075243667903!3d48.6235233018875!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x477295a02ba6c51f%3A0x6631be0a87269860!2s3593+Altp%C3%B6lla!5e0!3m2!1sde!2sat!4v1502464456884"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
70,10,6,"http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=706305507&INDEXSET=21
"
71,10,1,"http://d-nb.info/gnd/4699480-4
"
72,10,4,"http://www.geonames.org/2782848/aistersheim.html
"
73,10,3,https://goo.gl/maps/66vTYdfjDwA2
74,10,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10640.074731113402!2d13.733048643479679!3d48.18699152354667!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47740b6e6ead641b%3A0xb46ba32dbbcb072e!2s4676+Aistersheim!5e0!3m2!1sde!2sat!4v1502467646758"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
77,13,4,http://www.geonames.org/3065368/stare-buky.html
78,22,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106396056&INDEXSET=21
79,22,1,"http://d-nb.info/gnd/4001724-2
"
80,22,4,http://www.geonames.org/2861422/oberammergau.html
81,22,3,"https://goo.gl/maps/F6bTUN4KXkB2
"
82,22,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d43045.09679727849!2d11.021083555394853!3d47.600495297041505!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x479dab099e172f7f%3A0xb3a682a0f0a67535!2s82487+Oberammergau%2C+Deutschland!5e0!3m2!1sde!2sat!4v1502714187516"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
83,23,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=123520495&INDEXSET=21
84,23,1,http://d-nb.info/gnd/4307921-0
85,23,4,"http://www.geonames.org/2861422/oberammergau.html
"
86,23,3,https://goo.gl/maps/F6bTUN4KXkB2
87,23,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d43045.09679727855!2d11.021083555394853!3d47.600495297041505!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x479dab099e172f7f%3A0xb3a682a0f0a67535!2s82487+Oberammergau%2C+Deutschland!5e0!3m2!1sde!2sat!4v1502715578591"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
88,151,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106335928&INDEXSET=21
89,151,1,http://d-nb.info/gnd/4015630-8
90,151,4,http://www.geonames.org/2928684/ettal.html
91,151,3,https://goo.gl/maps/dXYQNwCUFf22
92,151,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d43068.78906517735!2d11.000002455196721!3d47.57169292841205!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x479daa3bb71cff5f%3A0xeb8f342c61271aac!2s82488+Ettal%2C+Deutschland!5e0!3m2!1sde!2sat!4v1502716236813"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
93,523,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106226827&INDEXSET=21
94,523,1,http://d-nb.info/gnd/4039732-4
95,523,4,https://www.geonames.org/2870482/mittenwald.html
96,523,3,https://goo.gl/maps/1PQudqv1uwg6AHbs6
97,523,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d86315.35164870473!2d11.219031359584557!3d47.463516274521446!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x479d0be821c93da9%3A0x41e48add78b9cc0!2s82481%20Mittenwald%2C%20Deutschland!5e0!3m2!1sde!2sat!4v1578408150950!5m2!1sde!2sat"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
98,520,6,https://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=188382747&INDEXSET=21
99,520,1,http://d-nb.info/gnd/4386032-1
100,520,4,https://www.geonames.org/3091979/miedzylesie.html
101,520,3,https://goo.gl/maps/qQdrzuBTFCsbDYWD8
102,520,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d40908.03462921489!2d16.611354839529845!3d50.14706803513197!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x470dfdff8542c2a9%3A0x2b0987372a507b7e!2sMi%C4%99dzylesie%2C%20Polen!5e0!3m2!1sde!2sat!4v1602686503397!5m2!1sde!2sat"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>"
103,24,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106395742&INDEXSET=21
104,24,1,http://d-nb.info/gnd/4001784-9
105,24,4,http://www.geonames.org/2782555/amstetten.html
106,24,3,https://goo.gl/maps/viDWZXAyED32
107,24,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42632.59099527997!2d14.818285608847308!3d48.09987705166965!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x477248518d6c2e11%3A0x32d88861a28b7b3!2sAmstetten!5e0!3m2!1sde!2sat!4v1502969063786"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
108,24,2,https://de.wikipedia.org/wiki/Amstetten
109,29,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=706895576&INDEXSET=21
110,29,1,http://d-nb.info/gnd/4798866-6
111,29,4,http://www.geonames.org/2782436/ardagger-markt.html
112,29,3,https://goo.gl/maps/1UmzsVUSTvN2
113,29,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42570.62382180142!2d14.79800065936634!3d48.174556919875904!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47724ea6a7b73e7d%3A0xef2309ed9b24fbec!2sGemeinde+Ardagger!5e0!3m2!1sde!2sat!4v1502971296341"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
114,29,2,https://de.wikipedia.org/wiki/Ardagger
115,1,2,https://de.wikipedia.org/wiki/Absdorf
116,6,2,https://de.wikipedia.org/wiki/Aflenz
117,10,2,https://de.wikipedia.org/wiki/Aistersheim
118,11,2,https://de.wikipedia.org/wiki/Albrechtsberg_an_der_Gro%C3%9Fen_Krems
119,12,2,https://de.wikipedia.org/wiki/Allentsteig
120,13,3,https://goo.gl/maps/pZoVQmcKBFo
121,13,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d40579.059342940884!2d15.837261376102797!3d50.53061400869688!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x470e8c15415fd247%3A0x400af0f6615e5f0!2s541+01+Star%C3%A9+Buky%2C+Tschechien!5e0!3m2!1sde!2sat!4v1502473329189"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
122,13,2,https://de.wikipedia.org/wiki/Star%C3%A9_Buky
123,14,2,https://de.wikipedia.org/wiki/Altenburg_(Nieder%C3%B6sterreich)
124,15,2,https://de.wikipedia.org/wiki/Altenmarkt_an_der_Triesting
125,16,2,https://de.wikipedia.org/wiki/Altenw%C3%B6rth
126,17,2,https://de.wikipedia.org/wiki/Altmelon
127,18,2,https://de.wikipedia.org/wiki/P%C3%B6lla
128,22,2,https://de.wikipedia.org/wiki/Ammergau
129,23,2,https://de.wikipedia.org/wiki/Ammergau
130,28,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=704760665&INDEXSET=21
131,28,1,http://d-nb.info/gnd/4505698-5
132,28,4,http://www.geonames.org/2782443/arbesbach.html
133,28,3,https://goo.gl/maps/XEpJJRNc1M92
134,28,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42313.22797355522!2d14.911490661523471!3d48.48383158049129!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772fc48eadec527%3A0x4436a1a9164f8543!2sArbesbach!5e0!3m2!1sde!2sat!4v1503326992981"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
135,28,2,https://de.wikipedia.org/wiki/Arbesbach
136,32,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=706919645&INDEXSET=21
137,32,1,http://d-nb.info/gnd/7720021-4
138,32,4,http://www.geonames.org/2770362/oberarnsdorf.html
139,32,3,https://goo.gl/maps/pp41yFmQqBL2
140,32,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10597.855686687062!2d15.505085243567038!3d48.39003336705323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x477286013d04083f%3A0xe1da0f1b39056453!2s3602+Arnsdorf!5e0!3m2!1sde!2sat!4v1503337515315"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
141,32,2,https://de.wikipedia.org/wiki/Rossatz-Arnsdorf
142,33,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=704029316&INDEXSET=21
143,33,1,http://d-nb.info/gnd/4380057-9
144,33,4,http://www.geonames.org/2782393/artstetten.html
145,33,3,https://goo.gl/maps/rv5AWASXRQT2
146,33,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42501.77618325205!2d15.17856070994314!3d48.257426779040514!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47726759146f297d%3A0x289cead6d9e3ed87!2sGemeinde+Artstetten-P%C3%B6bring!5e0!3m2!1sde!2sat!4v1503338730294"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
147,33,2,https://de.wikipedia.org/wiki/Artstetten-P%C3%B6bring
148,802,6,https://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=704884151&INDEXSET=21
149,802,1,http://d-nb.info/gnd/4523440-1
150,802,4,https://www.geonames.org/2764746/staatz.html
151,802,3,https://goo.gl/maps/X4tUbvCSQ1m
152,802,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5269.172955560094!2d16.482343228363508!3d48.675150751635!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d30ae67b73133%3A0x362d51c7e10cc470!2s2134+Staatz-Kautendorf!5e0!3m2!1sde!2sat!4v1503342848389"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
153,802,2,https://de.wikipedia.org/wiki/Staatz
154,961,6,https://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=705104346&INDEXSET=21
155,961,1,http://d-nb.info/gnd/4546133-8
156,961,4,http://www.geonames.org/2760818/wulzeshofen.html
157,961,3,https://goo.gl/maps/rzHbu6cZya72
158,961,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10529.425165607097!2d16.29176524370873!3d48.71778332551949!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d48c18d267c8b%3A0xa9e303502aadf56b!2sWulzeshofen%2C+2064!5e0!3m2!1sde!2sat!4v1503343525084"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
159,961,2,https://de.wikipedia.org/wiki/Wulzeshofen
160,910,6,https://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=70400769X&INDEXSET=21
161,910,1,http://d-nb.info/gnd/4376430-7
162,910,4,https://www.geonames.org/2761643/weissenalbern.html
163,910,3,https://goo.gl/maps/Hw9gqrmmULC2
164,910,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10530.88612014786!2d15.062125243705726!3d48.71080327747326!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772de30013d5a4d%3A0x12102fdcad6c376a!2s3932+Wei%C3%9Fenalbern!5e0!3m2!1sde!2sat!4v1503492291707"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
165,910,2,https://de.wikipedia.org/wiki/Wei%C3%9Fenalbern
166,225,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106314130&INDEXSET=21
167,225,1,http://d-nb.info/gnd/4021423-0
168,225,4,http://www.geonames.org/2778368/goellersdorf.html
169,225,3,https://goo.gl/maps/ttqss8dNfe62
170,225,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d21155.026987097648!2d16.106109934978175!3d48.48763606584486!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d6943c91f5ea7%3A0xb58596f575baadf6!2s2013+G%C3%B6llersdorf!5e0!3m2!1sde!2sat!4v1503493313980"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
171,225,2,https://de.wikipedia.org/wiki/G%C3%B6llersdorf
172,188,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=186598254&INDEXSET=21
173,188,1,http://d-nb.info/gnd/4381874-2
174,188,4,http://www.geonames.org/2779097/furth.html
175,188,3,https://goo.gl/maps/pPQkLz22KLT2
176,188,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d21199.616477906817!2d15.590965384792796!3d48.38065717519986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x477286ab2ce8861d%3A0xc935dbb70f76bdf5!2s3511+Furth+bei+G%C3%B6ttweig!5e0!3m2!1sde!2sat!4v1503496887456"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
177,188,2,https://de.wikipedia.org/wiki/Furth_bei_G%C3%B6ttweig
178,9,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=70691872X&INDEXSET=21
179,9,1,http://d-nb.info/gnd/4800789-4
180,9,4,http://www.geonames.org/7871921/ludweis-aigen.html
181,9,3,https://goo.gl/maps/whSJgoNCk1S2
182,9,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10510.016240644232!2d15.481775243748958!3d48.81044324956524!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772c80bf9fd0e89%3A0x92e2da1d997ae512!2s3814+Aigen+bei+Raabs!5e0!3m2!1sde!2sat!4v1503501197355"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
183,9,2,https://de.wikipedia.org/wiki/Ludweis-Aigen
184,811,6,https://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=705907503&INDEXSET=21
185,811,1,http://d-nb.info/gnd/4634285-0
186,811,4,https://www.geonames.org/2777578/grossstelzendorf.html
187,811,3,https://goo.gl/maps/6B4NFtmZQ4KnhzgSA
188,811,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d21144.903293210096!2d16.094115136304058!3d48.511900152369314!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d690fb6dba635%3A0x5ff4901dd71e311a!2s2013%20Gro%C3%9Fstelzendorf!5e0!3m2!1sde!2sat!4v1639566844876!5m2!1sde!2sat"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
189,811,2,https://de.wikipedia.org/wiki/Gro%C3%9Fstelzendorf
190,573,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=706919076&INDEXSET=21
191,573,1,http://d-nb.info/gnd/4800842-4
192,573,4,https://www.geonames.org/2769701/oberstinkenbrunn.html
193,573,3,https://goo.gl/maps/nvtPN7njAqR2
194,573,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10547.68200930209!2d16.15686524367093!3d48.630503299936116!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d448026861f6d%3A0x35ecb973856c8912!2s2023+Oberstinkenbrunn!5e0!3m2!1sde!2sat!4v1503506625240"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
195,573,2,https://de.wikipedia.org/wiki/Oberstinkenbrunn
196,258,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=707030846&INDEXSET=21
197,258,1,http://d-nb.info/gnd/4813923-3
198,258,4,http://www.geonames.org/2777252/guntersdorf.html
199,258,3,https://goo.gl/maps/YBMRzsFDaAz
200,258,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10543.765900700677!2d16.038615143679042!3d48.64923479469848!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d5b85bfd73215%3A0x9b2c43637c492849!2s2042+Guntersdorf!5e0!3m2!1sde!2sat!4v1503507309239"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
201,258,2,https://de.wikipedia.org/wiki/Guntersdorf
202,496,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=704932326&INDEXSET=21
203,496,1,http://d-nb.info/gnd/4527680-8
204,496,4,https://www.geonames.org/2771882/markersdorf-an-der-pielach.html
205,496,3,https://goo.gl/maps/v5hoSqHvDwz
206,496,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10638.52967270963!2d15.490215243482874!3d48.19443342147897!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47727bd2d92815ff%3A0x1fc8c9248903397c!2s3385+Markersdorf+an+der+Pielach!5e0!3m2!1sde!2sat!4v1503673335499"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
207,496,2,https://de.wikipedia.org/wiki/Markersdorf-Haindorf
208,277,6,https://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106303880&INDEXSET=21
209,277,1,http://d-nb.info/gnd/4023417-4
210,277,4,http://www.geonames.org/2776872/hardegg.html
211,277,3,https://goo.gl/maps/TLGRUJuc6Tn
