personen_literaturId,personenId,literatur
33,518,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35"
34,538,"Lutz, Stadt, 83, 146."
35,1753,"Lutz, Stadt, 181f."
36,5416,"Lutz, Stadt, 182."
37,2204,"Lutz, Stadt, 188."
38,5547,"Lutz, Stadt, 189f."
39,559,"Riederer, Illustre Negocianten, Bd. 1, 124-133."
40,578,"Franz Xaver Pritz, Beschreibung und Geschichte der Stadt Steyer und ihrer nächsten Umgebungen (Linz 1837) 343."
41,590,"Sandra Kersten, Die Freundschaftsgedichte und Briefe Johann Christian Günthers (Berlin 2006) 225; Johann Christian Günther, Dichtungen der letzten Wanderjahre 1721-1723, Teil 1: Texte, hg. von Reiner Bölhoff (Neudrucke deutscher Literaturwerke N.F. 75, Berlin-Boston 2014) 249."
42,617,"oficiální internetové stránky města Počátky, Městský úřad, Stavební úřad: http://www.pocatky.cz/cs/5/section-28/prehled-historie-od-13-stol.htm"
43,616,"oficiální internetové stránky města Počátky, Městský úřad, Stavební úřad: http://www.pocatky.cz/cs/5/section-28/prehled-historie-od-13-stol.htm"
44,624,"Serles, Metropole, 117; Seibold, Blommart und ihr Handelshaus, 167; Seibold, Wirtschaftlicher Erfolg, 351; Dietz, Frankfurter Handelsgeschichte 3, 265–270."
45,626,"Dotter, Kaufleute, 123-127; Rauscher, Serles, Märkte, 80.<br>"
46,627,"Tremel, Salzburger Eisenniederlage, 298; Phillip Skippon, A Journey through Part of the Low-Countries, Germany, Italy and France, in: A Collcetion of Voyages and Travels (...) Vol. 6 (London 1732) 361-736, hier 405; Schulte Beerbühl, Kaufleute, 415."
47,642,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
48,682,"Kinzl, Chronik, 268; Kerschbaumer, Krems, 516."
49,720,"Führnrohr, Johann Anton Küffner; Mecenseffy, Österreichische Exulanten, 139f."
50,757,"Purin, Heiratsschwindler, 7; Purin, ""Kamphansjörgl"", 8; Purin, Rosenburger Papiermühle."
51,779,"Bozner Bürgerbuch 1551–1806 1: Einleitung, Text und Tafeln, hg. von Rudolf Marsoner (Bozner Jahrbuch für Geschichte / Kultur und Kunst 2: 1929/1930, Bolzano 1933)."
52,811,"Zur Familie siehe Raynaud, Einwanderungen, 95, 160f."
53,813,"Perger, Ratslisten 1641 bis 1668, 58."
54,6200,"Krobath, Bürgermeister (10. Fortsetzung), 3–16; von Pantz, Gewerken, 302."
55,670,"Krobath, Bürgermeister (10. Fortsetzung) 19–25."
56,4551,"Krobath, Bürgermeister (10. Fortsetzung) 36–46."
57,7577,"Krobath, Bürgermeister (10. Fortsetzung) 36–46; Ofner, Venedische Handelsleute."
58,841,"Puntschert, Denkwürdigkeiten, 157, 161, 165."
59,847,"Puntschert, Denkwürdigkeiten, 161, 164."
60,884,"Brunner, Stellung, 60; Kühnel, Wegweiser, 36f.; Serles, gmainer statt, 121."
61,920,"Gerhart Kriechbaum, Helmhart Jörger, die Herrschaft Scharnstein und die Sensenwerke im Almtal. Die Geschichte des mittleren Almtales vom 16. bis ins 20. Jahrhundert (Bamberg 2005) 146.
"
62,942,"Paisey, Buchdrucker, 53; Grieb, Nürnberger Buchgewerbe, passim; Serles, Metropole, 103f.; Sporhan-Krempel, Buchdruck, 25–37; Sporhan-Krempel, Genealogie der Familie Endter; Seibold, Wirtschaftlicher Erfolg, Bd. 1, 404-406."
63,944,"Serles, Metropole, 104, Anm. 528; Sporhan-Krempel, Buchdruck, 25–37; Sporhan-Krempel, Genealogie der Familie Endter."
64,941,"Seibold, Wirtschaftlicher Erfolg, Bd. 1, 403; Sporhan-Krempel, Buchdruck, 25–37; Sporhan-Krempel, Genealogie der Familie Endter."
65,940,"Seibold, Wirtschaftlicher Erfolg, Bd. 1, 404."
66,977,"Gröbl, Juden in Stein, passim; Staudinger, ""Gantze Dörffer"", passim."
67,1017,"Serles, Metropole, 105; Rauscher, Serles, Niederleger, 167; Bachleitner–EyblFischer, Buchhandel in Österreich, 80, 97."
68,932,"Pusch, Rats- und Stadtgeschlechter, 370–376."
69,931,"Pusch, Rats- und Stadtgeschlechter, 370–376."
70,933,"Pusch, Rats- und Stadtgeschlechter, 370–376."
71,938,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 32."
72,1088,"Fischer, Blaue Sensen, 182f.; Fischer, Sensenausfuhr, 308."
73,1112,"Scheutz, Legalität, 219, Anm. 51; <span><span><span>Beim niederösterr. Landmarschall'schen Gerichte hinterlegte 
Verträge, derzeit im n. ö. Landesarchiv, 1. Teil, in: Monatsblatt der 
Kais. Kön. Heraldischen Gesellschaft ""Adler"" Bd. 3, Nr. 34 (Nr 154) 
205-211, hier 210.</span></span></span>"
74,1113,"Srbik, Spiegelfabrik, 307; Richard Perger, Der Hohe Markt (Wiener Geschichtsbücher 3, Wien–Hamburg 1970) 82; Gustav Korkisch, Geschichte des Schönhengstgaues, Teil 2 (Veröffentlichungen des Collegium Carolinum 31, München 1975) 182, Anm. 445."
75,1115,"Dotter, Kaufleute (2017), 118–120; <span><span>Huchler, Bürgeraufnahmen, 3</span></span>75 (14. Jänner 1715)."
76,4021,"Pantz, Gewerken, 203f.; Pantz, Innerberger Hauptgewerkschaft, 78f."
77,1127,"Zillner, Salzburg, 508."
78,1147,"Kinzl, Chronik, 253; Kerschbaumer, Krems, 360."
79,1149,"Kerschbaumer, Krems, 515."
80,1191,"Pusch, Breslauer Rats- und Stadtgeschlechter 1, 414–418. "
81,1227,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
82,1261,"Keil, Hebräische und jiddische Quellen, 48; Staudinger, Zeit der Landjuden, passim; Rauscher, Hoffaktoren, 558; Rauscher, Prekäre Güter, 53f. "
83,1392,"Stadtlexikon Nürnberg, 314f.; Hampe, Beiträge II; Hampe, Beiträge III. "
84,1453,"Rauscher, Serles, Niederleger, 158; Kroißmayr, Walpersdorf, 202."
85,1499,"Bog, Oberdeutsche Kaufleute zu Lyon, 63, Anm. 180."
86,1502,"Werneck, Grundlagen, 209; Katzinger, Ebner, Ruprechtsberger, Enns, 251f.; Rauscher, Serles, Märkte, 68-71."
87,1513,"Raynaud, Savoyische Einwanderung, 174; Maistre, Maistre, Heitz, Colporteurs, 220; <span>Huchler, Bürgeraufnahmen, 386 (3. Februar 1717)</span>."
88,1511,"Raynaud, Savoyische Einwanderung, 174; Maistre, Maistre, Heitz, Colporteurs, 220; <span><span><span><span>Huchler, Bürgeraufnahmen, 422 (6. August 1721)</span></span></span></span>."
89,1522,"Fischer, Blauen Sensen, 183."
90,1571,"Johann Georg Adam von Hoheneck, Die Löbliche Herren Herren Stände Deß Ertz=Hertzogthumb Oesterreich ob der Ennß. Alls: Prälaten / Herren / Ritter / und Städte (...). Erster Theil (Passau 1727) 149–165."
91,1665,"Pusch, Breslauer Rats- und Stadtgeschlechter, 34–36. "
92,1714,"Führer, Gratschmayer; Gratschmayer, Chronik."
93,1711,"Führer, Gratschmayer; Gratschmayer, Chronik."
94,1713,"Führer, Gratschmayer; Gratschmayer, Chronik."
95,1712,"Führer, Gratschmayer; Gratschmayer, Chronik."
96,1735,"Kriechbaum, Helmhart VIII. Jörger."
97,1737,"Kriechbaum, Helmhart VIII. Jörger."
98,1778,"Raynaud, Savoyische Einwanderung,179; Maistre–Gilbert et al., Colporteurs, 221."
99,1805,"Kellenbenz, Regensburger Fernhandelsbeziehungen in der Mitte des 17. Jahrhunderts, 466; Senfelder, Gottesacker, 255."
100,1821,"Pusch, Breslauer Rats- und Stadtgeschlechter, 59. "
101,1823,"Pusch, Breslauer Rats- und Stadtgeschlechter, 59f. "
102,1836,"Rauscher, Langenlois, passim."
104,2027,"Schönfeld, Wirtschaftsgeschichte, 67."
105,2060,"Six, ""Heylandt"". "
106,2118,"Rauscher, Langenlois, 41."
107,2133,"Buchberger, Lebl Höschl."
108,2365,"Bog, Kaiserliche Kommission, hier 291 [dort unter ""Romanus Hönig""]; Hörnigk, Österreich über allesk, Zitat 137."
109,2436,"Haupt, Archivalien III, xxiiif."
110,2637,"Rauscher, Serles, Märkte, 85, Anm. 108."
111,2615,"Klein, Saumhandel, 473."
112,2740,"Franz Karl Wissgrill, Schauplatz des landsässigen Nieder-Oesterreichischen Adels [...] 5 (Wien 1804) 9f."
113,2907,"Pusch, Breslauer Rats- und Stadtgeschlechter, 371."
114,3014,"Hofmann, Beiträge, 360; Kreczi, Linzer Häuserchronik, 53: ""Kholb von Kholbenthuern""; August Ludwig Schlözer's (...) Briefwechsel (...), 10. Teil, Heft LV-LX, hier Heft LVIII, Nr. 17, 201-222."
115,2919,"Leonore Pühringer-Zwanowetz, Matthias Steinl (Wien-München 1966) 279, Nr. 168."
116,7361,"Leonore Pühringer-Zwanowetz, Matthias Steinl (Wien-München 1966) 281, Nr. (175)."
117,3235,"<span>Schönfeld, Wirtschaftsgeschichte Regensburgs, 47f.; </span>Führnrohr, Johann Anton Küffner; Paritius, 1723, 92, 103, 108."
118,3302,"Gröbl, „…auf wolgefallen…, 273-276."
119,3476,http://www.stockerau.at/system/web/zusatzseite.aspx?detailonr=224037653
120,3579,"Ditz, Frankfurter Handelsgeschichte, Bd. 2, 73 und 76."
121,3601,"Schnabel, Protestanten, 116, Nr. 182; Seifert, Stamm=Taffeln 1 (Stammbaum); Fürnrohr, Patriziat, 222; Hieronymus Löschenkohl 1753-1807 (Historisches Museum der Stadt Wien, Erste Sonderausstellung April-Oktober 1959, Wien 1959) 8; Kellenbenz, Regensburger Fernhandelsbeziehungen in der 2. Hälfte des 17. Jahrhunderts, 248, 252."
122,8024,"<div>Schnabel, Protestanten, 116, Nr. 182 (der Artikel behandelt seinen gleichnamigen Vater); Seifert, Stamm=Taffeln (Stammbaum).</div>"
123,3605,"Schnabel, Protestanten, 116, Nr. 182 (Artikel zu seinem Vater); Seifert, Stamm=Taffeln (Stammbaum)."
124,3634,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
125,3652,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
126,3669,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35 (Maderni)."
127,3681,"Konrad Meindl, Geschichte der Stadt Braunau am In, II. Theil (Braunau 1882) 166f. (zur Familie Mahlknecht)."
128,3706,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
129,3764,"Dotter, Italienische Kaufleute, 117-123. Beim niederösterr. Landmarschall'schen Gerichte hinterlegte Verträge, derzeit im n. ö. Landesarchiv, 1. Teil, in: Monatsblatt der Kais. Kön. Heraldischen Gesellschaft ""Adler"" Bd. 3, Nr. 34 (Nr. 154) 205-211.<br>"
130,3765,"Dotter, Italienische Kaufleute, 144f."
131,3782,"Hans-Jörg Künast, Augsburger Stadtlexikon, Maschenbauer, 1) Andreas (Stand: 2. Auflage Druckausgabe)"
132,3856,"Bernhard Wachstein, Die Inschriften des alten Judenfriedhofes in Wien, Teil 1 (Wien-Leipzig 1912), Nr. 590, 446–450 (Zacharia b. Isaschar Beer ha-Levi)."
133,3883,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
134,3951,"Maria Vinzenz Süss, Die Bürgermeister von Salzburg von 1433 bis 1840 (Salzburg 1840) 131."
135,4106,"Von Pantz, Gewerken, 212."
136,4109,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
137,4292,"Fischer, Sensenausfuhr, 296-299; Straube, Geleitwesen, 164, Anm. 210. Zur Familie Neefe siehe Bräuer, Chemnitz; Adam Daniel Richter, Umständliche (...) Chronica Der (...) Stadt Chemnitz (...), 2. Theil, Zittau-Leipzig 1764, 319f.."
138,5010,"Bräuer, Chemnitz, 33."
139,4323,"Seibold, Viatis und Peller, XL [dort unter ""Huhan, Hans Leonhardt + Valentin Latermann""]; Fischer, Blaue Sensen, 176 [unter ""Hans Nuhamb v. Nürnberg""]; Pickl, Handel an Inn und Donau, 212 und 239 [Hans Nuhan]."
140,3374,"<div>Einige genealogische Auszüge aus zwischen 1566 und 1775 publizierten, derzeit im Index des Magistrates verzeichneten und im Archive des k. k. Landesgerichtes Wien befindlichen Testamenten in: Adler 5 (1901) 335: ""Latterman Valentin, Handelsmann in der kais. Niederlag. Gattin Justina Maria Maschkhonin. Kinder M. Barbara, Georg Ludwig und Sofie Katharina. p. 1665.""; Seibold, Viatis und Peller, XL [dort unter ""Huhan, Hans Leonhardt + Valentin Latermann""]; Senfelder, Gottesacker, 25.</div>"
141,4339,"Bruno J. Nussbaumer unter Mitwirkung von Kathrin Müller und Claudius Büchel, Die Nussbaumer Chronik (St. Gallen 1987) 47; Karl August Schimmer, Ausführliche Häuser=Chronik der inneren Stadt Wien (...) (Wien 1849) 180, Nr. 689. Staats- und Standeskalender 1702, 149."
142,4376,"Laurenz Pröll, Ein Blick in das Hauswesen eines österreichischen Landedelmannes aus dem ersten Viertel des 17. Jahrhunderts (Wien 1889); Erwin Hannerer, Freiherr Wolf von Oedt, Herr von Helfenberg und Primmersdorf. Inventarium - Beschreibung des Hausstandes (2013): http://www.ooegeschichte.at/fileadmin/media/heimatforscher/dokumente/monografien/hannerer_erwin_wolf_von_oedt_beschreibung_des_hausstandes_2013.pdf"
143,4377,"Jacob Christoph Iselin, Fortsetzung des Allgemeinen Historischen Lexici. Anderer Theil: von K-Z, ""Oedt"" 969f."
144,4395,"Mazzei, Decline of the City Economies, 204; Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
145,4412,"Karel Jalovec, Enzyklopädie des Geigenbaues, Bd. 2 (Praha 1965) 134; Roeck, Eine Stadt, Bd. 2, 942f."
146,4447,"Julia Haarmann, Hüter der Tradition. Erinnerung und Identität im Selbstzeugnis des Pinchas Katzenellenbogen (1691-1767) (Jüdische Religion, Geschichte und Kultur 18, Göttingen 2013) 185f."
148,4470,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
149,4475,"Mittheilungen des Historischen Vereines für Steiermark 22 (1874), XVIIIf. (Zusammenfassung eines Vortrags über das Hauptbuch der Firma Hans Pagges von 1646/47 durch Leopold Beckh-Widmanstetter);  Wilhelm Deuer, Judenburg. Kommentar zur Siedlungsgeschichte (Österreichischer Städteatlas 7. Lieferung, 2002). L. Hübner, Beschreibung der hochfürstlich=erzbischöflichen Haupt= und Residenzstadt Salzburg (...), Bd. 1: Topographie (Salzburg 1792) 417f.
"
150,4528,"<div>Dotter, Italienische Kaufleute, 127-130; Benita Berning, ""Nach altem löblichen Gebrauch"". Die böhmischen Königskrönungen der Frühen Neuzeit (1526–1743) (Stuttgarter Historische Forschungen 6, Köln–Weimar–Wien 2008) 78f.; F. A. von Hayek, ""Antonia Patuzzi"". Adler Nr. 583-84 (1929) 547f.; Herbert Haupt, Ein liebhaber der gemähl und virtuosen.... Fürst Johann Adam I. Andreas von Liechtenstein (1657–1712) (Quellen und Studien zur Geschichte des Fürstenhauses Liechtenstein 3/2, Wien 2012) Nr. 1981. Zur Entwicklung der Liegenschaft Nr. 1083 und den familiären Verbindungen zu anderen Wiener Kaufleuten siehe den Blog von Michael Lorenz. [Für diese Literaturhinweise danken wir Herrn Benjamin Bather, einem Nachkommen des B. Patuzzi.]
.</div><div>Harrer-Lucienfeld, Wien, seiner Häuser, Bd. 6.1, S. 210-211.</div><div>Huchler, Bürgeraufnahmen, 101 (13. Juli 1707).<br></div>"
151,4529,"Die Rechte und Freyheiten der Herren Genannten des grösseren Raths in Nürnberg (...) (Wien-Dresden 1786) 26; Weitere Fortsetzung der Nürnbergischen Burgerlichen Bedrängnüssen (...) 1731, unpag.."
152,4643,"Scheiber, 600 Jahre; Scheutz, Tersch, Memoria; Straßmayr, Patrizier; Benedikt Pillwein, Neuester Wegweiser durch Linz und seine nächste Umgebung (...) (Linz 1837) 87."
153,4644,"Scheiber, 600 Jahre, 66f.; Straßmayr, Patrizier; <span>Budischowsky, Johann Georg Schuller, 12, 16</span>."
154,4645,"Scheiber, 600 Jahre, 65."
155,4646,"<div>Scheiber, 600 Jahre, 67f.; <span>Huchler, Bürgeraufnahmen, 479.<br></span></div><div>Harrer-Lucienfeld, Wien, seiner Häuser, Bd. 1.1, S. 178<br><span></span></div><div><span></span></div>"
156,4647,"Scheiber, 600 Jahre, 64f. Andreas Zajic, ""Zu ewiger gedächtnis aufgericht"". Grabdenkmäler als Quelle für Memoria und Repräsentation von Adel und Bürgertum im Spätmittelalter und in der Frühen Neuzeit. Das Beispiel Niederösterreichs (Mitteilungen des Instituts für Österreichische Geschichtsforschung, Erg.-Bd. 45, Wien-München 2004) 98."
157,4694,"<div>Rauscher, Serles, Niederleger, 168f.</div><div>Harrer-Lucienfeld, Wien, seiner Häuser, Bd. 1.3, S. 727</div><div>Raynaud, Savoyardische Einwanderungen, 216<br></div>"
158,4751,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
159,4778,"[Franz Xaver Joseph SCHWEICKHARDT], Darstellung des Erzherzogthums Oesterreich unter der Enns, Bd. 5 (Wien 1840) 222."
160,4817,"Pfundner, Glockengießer, 400; Serles, gmainer statt, 121."
161,7034,"Pfundner, Glockengießer, 400; Serles, gmainer statt, 121."
162,1220,"Pfundner, Glockengießer, 400; Serles, gmainer statt, 121."
163,5267,"Pfundner, Glockengießer, 401; Serles, gmainer statt, 121."
164,6925,"Pfundner, Glockengießer, 401; Serles, gmainer statt, 121."
165,4985,"Josef Focht (Hg.), Bayerisches Musiker-Lexikon Online (""Pizl, Virgil"")."
166,5192,Sehr aktiver Händler in Krems.
167,5219,"Kurze Geschichte der merkwürdigen Lebensereignisse und Seereisen des verstorbenen Herrn Johann Heinrich Praunsmändel, Bürgers und Thorschreibers dahier (Regensburg 1816) 5."
168,5280,"Fröschl–Stekl, Landstadt, 94."
169,5272,"Fröschl–Stekl, Landstadt, 95."
170,5273,"Fröschl–Stekl, Landstadt, 95."
171,1795,"Fröschl–Stekl, Landstadt, 94."
172,5294,"Serles, Metropole, 99f.; Peters, Handels Nürnbergs, 260-262; Ofner, Geschichte des Stahlhandels, 23."
173,5295,"Benedikt Pillwein, Neuester Wegweiser durch Linz und seine nächste Umgebung (...) (Linz 1837) 87."
174,5372,"Höfer, Handelsbeziehungen, 137; Fürnrohr, Patriziat, 274."
175,5373,"Fürnrohr, Patriziat, 274."
176,5388,"Purin, Papiermacher-Familie Purtscher; Purin, ""Kamphansjörgl""; Thiel, Geschichte der Papiererzeugung, 85; Johann Georg Megerle von Mühlfeld, Österreichisches Adels-Lexikon des achtzehnten und neunzehnten Jahrhunderts [...] (Wien 1822) 245."
177,5503,"J. R. Schuegraf, Das Haus zum Reisen Goliath Lit. F. Nr. 20. in Regensburg (Regensburg 1840) 21 (Friedrich Reinhardt/Reinhart); Norbert Willisch, ""Es kennt mich dort keiner mehr... und keiner kennt mich auch hier"". Zum 175. Todestag des Riesengebirgsmalers Sebastian Carl Reinhardt, Ostbairische Grenzmarken. Passauer Jahrbuch für Geschichte, Kunst und Volkskunde 46 (2004) 167-191, hier 179."
178,5636,"Dotter, Kaufleute, 126f."
179,5655,"Kellenbenz, Regensburger Fernhandelsbeziehungen in der 2. Hälfte des 17. Jahrhunderts, 249."
180,5657,"Rauscher, Hoffaktoren, 554."
181,5838,"Rauscher, Langenlois, v.a. 78-85, 105-107."
182,5884,"<div>Norbert CONRADS, Herkunft und Familie des Schulreformers Johann Ignaz von Felbiger, in: DERS., Schlesien in der Frühmoderne. Zur politischen und geistigen Kultur eines habsburgischen Landes (Neue Forschungen zur schlesischen Geschichte 16) hg. von Joachim Bahlcke (Köln-Weimar-Wien 2009) 291-310, hier 300f. (Erstdruck in Archiv für schlesische Kirchengeschichte 63 (2005) 17-40 (zur Familie Schacky ohne Nennung Andres).</div><div>Ein Hinweis auf die Familie Schacky (""Sacco""), ihre Herkunft aus Italien (Gegend von Cremona) und Erhebung in den Adelsstand (""Schacky von Schönfeld"") 1677 in: Volker LIEDKE, Welsche Krämer in Bayern, in: Blätter des Bayerischen Landesvereins für Familienkunde Jg. 29/1 (1966) 70-82, hier 80.<br></div>"
183,6230,"Georg Wilhelm Zapf, Augsburgische Bibliothek (...), Bd. 1 (Augsburg 1795) 424; Häberlein, Fremdsprachen, 28f. (mit weiterer Literatur); Seibold, Wirtschaftlicher Erfolg, Bd. 1, 323f."
184,6080,"Kellenbenz, Regensburger Fernhandelsbeziehungen in der Mitte des 17. Jahrhunderts, 467."
185,6149,Sehr aktiver Händler in Krems.
186,6356,"Roth, Nürnbergischer Handel, Bd. 2, 99; Seibold, Wirtschaftlicher Erfolg, Bd. 1, 512-515, 536."
187,6371,"Pusch, Breslauer Rats- und Stadtgeschlechter, Bd. 4, 188; Stein, Rat, 242, Markgraf-Frenzel, Stadtbuch 71."
188,6675,"Kellenbenz, Regensburger Fernhandelsbeziehungen in der 2. Hälfte des 17. Jahrhunderts, 247."
189,6935,"Dotter, Italienische Kaufleute, passim (Traunpaur); Huchler, Bürgeraufnahmen, 547 (20. März 1719); <span>Huchler, Bürgeraufnahmen, 546</span>. Reinhold Reith (Hg.), Das Verlassenschaftsinventar des Salzburger Tuch- und Seidenhändlers Franz Anton Spängler von 1784 (Schriftenreihe des Archivs der Stadt Salzburg 42).<br>"
190,6983,"Mazzei, The Decline of the City Economies, 201."
191,6985,"Kellenbenz, Regensburger Fernhandelsbeziehungen in der 2. Hälfte des 17. Jahrhunderts, 244, 246; Kellenbenz, Regensburger Fernhandelsbeziehungen in der Mitte des 17. Jahrhunderts, 466; Neumann, Steyr, 138 Anm. 4 [Mathes Tiechler]."
192,7004,"Gröbl, „…auf wolgefallen…, 270."
193,7057,"Müller, Kremser und Steiner Buchdrucker, 107; Bachleitner u.a., Buchhandel, 81; Günther Grünsteudel, Veith, Buchhändlerfamilie (http://www.stadtlexikon-augsburg.de/index.php?id=114&amp;tx_ttnews[swords]=Veit&amp;tx_ttnews[tt_news]=5738&amp;tx_ttnews[backPid]=115&amp;cHash=7a030c91b5)."
194,7091,"Fischer, Sensenausfuhr, 304; Pusch, Breslauer Rats- und Stadtgeschlechter, Bd. 5, 22f."
195,7094,"Beschreibung der Metropolitankirche St. Stephan in Wien, hg. von einem Priester der erzbischöflichen Kur im Jahre 1779 (Wien 1779) 306."
196,7328,"Von Pantz, Gewerken, 382."
197,7341,"Serles, Metropole, 112f."
198,7346,Äußerst aktiver Händler und Faktor in Krems.
199,7358,"Isidore Singer, S. Mannheimer, ""Wertheimer, Samson"" in: Jewish Encyclopedia; URL: http://www.jewishencyclopedia.com//articles/14868-wertheimer-samson
David Kaufmann, ""Wertheimer, Samson"" in: Allgemeine Deutsche Biographie (1898), S. [Online-Version]; URL: https://www.deutsche-biographie.de/gnd130548677.html#adbcontent "
200,7537,"Hermann Luchs, Die Denkmäler der St. Elisabeth-Kirche zu Breslau (Breslau 1860) 115; Pusch, Breslauer Rats- und Stadtgeschlechter, Bd. 5, 84."
201,7611,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
202,7761,"Srbik, Exporthandel, 227–230, 278f., 314f."
203,7776,"Höfer, Handelsbeziehungen, 163, 236, 251; Fechner, Handelspolitische Beziehungen, 325; Rauscher, Serles, 
Tabakhandel; Prokosch, 
Bürgerbuch, [393], 103 <span>(Bürgeraufnahme 1681)</span>."
204,7775,"Höfer, Handelsbeziehungen, 163."
205,7878,"Gröbl, ""...auf wolgefallen..."", 272."
