ortsId,aschachId,kremsId,ortsname,ortsname_aktuell,katastralgemeinde,ortsteil,nennung,zuordnung,typ,historischeSystematik,namensvar_hist,regionHistorisch,reichskreis,regionAktuell,regionAktuellCode,latitude,longitude,staat_aktuell,staat_aktuell_code,flusssystem,verkehrsanbindung,bemerkungen,bearbeitet
12,,603,Allentsteig,Allentsteig,,,1,1,12,1,Altensteig,1,4,1,1,N 48° 41' 50'',E 15° 19' 39'',1,7,16,"A. liegt am Thauabach -> Thaya -> March -> Donau.
A. lag an der Horn-Eggenburger Hochstraße, einer Seitenlinie der nördlichen Hochstraße, die die Verbindung nach Böhmen über Gmünd herstellte. CSENDES, Straßen Niederösterreichs, 182–184.","<p>
	A. wird 1276 erstmals als &quot;Markt&quot; erw&auml;hnt. Seit 1772 Jahrmarkt zu St. Ulrich (4. Juli) mit 16-t&auml;giger Freiung. BERTHOLD, Allentsteig, 38, 41.</p>
<p>
	&nbsp;</p>
",1
13,,829,Altenbuch,Staré Buky,,,1,1,12,1,,5,,25,16,N 50° 32' 14'',E 15° 50' 53'',2,4,14,A. liegt am Zusammenfluss des Kaiperbachs/Starobucký potok mit dem Weinbergerbach/Dolnický potok -> Elbe.,"<p>
	A. liegt in unmittelbarer N&auml;he zu Trautenau/Trutnov. Die Zuordnung ist eindeutig, da der einzige in den KWNB genannte Kaufmann aus A., Friedrich (Ferdinand?) F&uuml;nk, in den <a href=""http://vychodoceskearchivy.cz/zamrsk/sbirka-matrik-vychodoceskeho-kraje-1587-1949/"" target=""_blank"">Trauungsmatriken von Altenbuch</a> (1693, fol. 7r) verzeichnet ist. &Uuml;ber die Archivseite (Matriky) sind auch Eintr&auml;ge zu Taufen von Kindern F&uuml;nks zu finden.</p>
",1
14,,67,Altenburg,Altenburg,,,1,1,12,1,Altnburg,1,4,1,1,N 48° 38' 51'',E 15° 35' 34'',1,7,24,A. liegt auf einer Geländestufe über dem Kamp -> Donau.,"<p>
	Alle anderen Orte namens A. in Nieder&ouml;sterreich konnten anhand der Matriken ausgeschlossen werden. F&uuml;r das <a href=""https://de.wikipedia.org/wiki/Stift_Altenburg"" target=""_blank"">Stift Altenburg</a> ist die Zuordnung ohnedies eindeutig und auch die Person &quot;<a href=""https://data.matricula-online.eu/de/oesterreich/st-poelten/altenburg/02-01/?pg=22"" target=""_blank"">Johann Frey</a>&quot; konnte in den Matriken von A. nachgewiesen werden (<a href=""https://data.matricula-online.eu/de/oesterreich/st-poelten/altenburg/"" target=""_blank"">Beginn der Matriken 1699</a>).</p>
",1
15,466,294,Altenmarkt (an der Triesting),Altenmarkt an der Triesting,,,"1
2",1,12,1,"KWNB: Alten Markht
AMP: Altenmarkht",1,4,1,1,N 48° 0' 55''	,E 15° 59' 47'',1,7,102,"A. liegt an der Triesting -> Schwechat -> Donau.
Von Bedeutung war die Lage an der ""Via Sacra"", einem Wallfahrerweg von Wien nach Mariazell. HANAUSKA, Altenmarkt an der Triesting, 193f.","<p>
	Die einzige in den KWNB genannte Person aus A., Andre Knauer, scheint in den <a href=""http://data.matricula-online.eu/de/oesterreich/wien/kleinmariazell/A%252CB%252CC-01/?pg=308"" target=""_blank"">Sterbematriken der Pfarre Kleinmariazell</a> auf, daher ist die Zuordnung zu A. (an der Triesting) eindeutig.</p>
<p>
	Die in den AMP (1706-1740) genannten Personen scheinen sonst auch unter &quot;Melk&quot; oder &quot;Ybbs&quot; auf. Die einzige Handelsware ist Terpentin bzw. Terpentinpech. In und um A. wurde Terpentinpech (= F&ouml;hren- oder L&auml;rchenharz) gewonnen.<br />
	Siehe u.a. <a href=""https://books.google.at/books?id=jpLQ900iYEAC&amp;pg=PA311&amp;dq=Altenmarkt+Terpentin&amp;hl=de&amp;sa=X&amp;ved=0ahUKEwiu65av4MXhAhVDaFAKHaTBBggQ6AEIOjAD#v=onepage&amp;q=Altenmarkt%20Terpentin&amp;f=false"" target=""_blank"">BARCHELLI, Handbuch, 311</a>, und den Eintrag zur &quot;<a href=""https://www.unesco.at/kultur/immaterielles-kulturerbe/oesterreichisches-verzeichnis/detail/article/pecherei-in-niederoesterreich"" target=""_blank"">Pecherei</a>&quot; in der UNESCO-Liste des immateriellen Kulturerbes.</p>
<p>
	Obwohl der Name A. auf einen alten Marktplatz schlie&szlig;en l&auml;sst, ist ein Wochenmarkt erst 1448 nachweisbar und auch dieser d&uuml;rfte bald wieder abgekommen sein. HANAUSKA, Altenmarkt an der Triesting, 193.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
",1
16,1243,396,Altenwörth,Altenwörth,,Kirchberg am Wagram,"1
2",1,12,1,"KWNB: Altenwerth
AMP: Altenwörth",1,4,1,1,N 48° 23' 5'',E 15° 51' 44'',1,7,1,A. liegt am linken (nördichen) Ufer der Donau bzw. an einem Donaualtarm.,,1
17,,934,Dietrichsbach,Dietrichsbach,,Altmelon,1,1,12,1,,1,4,1,1,N 48° 27' 0'',E 14° 56' 0'',1,7,,D. liegt zwischen den beiden größeren Flussystemen Naarn und Kamp -> Donau.,"<p>
	Der Ort selbst wird in den KWNB nicht erw&auml;hnt, sondern die in D. gelegene Waldglash&uuml;tte &quot;Wachtelh&uuml;tte&quot;. STADLER, Industrielles Erbe, 127f.</p>
",1
18,,813,Altpölla,Altpölla,,Pölla,1,1,12,1,"Alten Pöllä, Altenpöllä",1,4,1,1,N 48° 37' 0'',E 15° 28' 0'',1,7,24,"A. liegt knapp vor der Mündung des Urlbachs in den Kamp -> Donau.
A. lag am Schnittpunkt der Krumauer Straße mit dem Polansteig. CSENDES, Straßen Niederösterreichs, 210.",,1
19,,206,Altstadt,,,,1,2,,,"Altstatt, von der Altstatt",,,,,,,,,,,"<p>
	A. ist eine h&auml;ufige Ortsbezeichnung. Ausgehend von den in den KWNB gehandelten Waren d&uuml;rfte es sich um einen (oder mehrere?) Orte im b&ouml;hmisch-m&auml;hrischen Raum handeln. Insbesondere kommen folgende Orte in Frage:</p>
<p>
	1. A. / <a href=""https://de.wikipedia.org/wiki/Star%C3%A9_M%C4%9Bsto_nad_Metuj%C3%AD"" target=""_blank"">Star&eacute; Město nad Metuj&iacute;</a> (B&ouml;hmen)</p>
<p>
	2. A. / <a href=""https://de.wikipedia.org/wiki/Star%C3%A9_M%C4%9Bsto_pod_Land%C5%A1tejnem"" target=""_blank"">Star&eacute; Město pod Land&scaron;tejnem</a> (B&ouml;hmen)</p>
<p>
	3. A. / <a href=""https://de.wikipedia.org/wiki/Star%C3%A9_M%C4%9Bsto_u_Fr%C3%BDdku-M%C3%ADstku"" target=""_blank"">Star&eacute; Město u Fr&yacute;dku-M&iacute;stku</a> (Schlesien bzw. M&auml;hren)</p>
<p>
	4. A. / <a href=""https://de.wikipedia.org/wiki/Star%C3%A9_M%C4%9Bsto_u_Uhersk%C3%A9ho_Hradi%C5%A1t%C4%9B"" target=""_blank"">Star&eacute; Město u Uhersk&eacute;ho Hradi&scaron;tě </a>(M&auml;hren)</p>
",1
20,,863,Alttitschein,Starý Jičín,,,1,1,12,1,Altitschein,4,,26,17,N 49° 34' 36'',E 17° 57' 42'',2,4,21,A. liegt an der Itschina/Grasmanka -> Titsch/Jičínka -> Oder.,"<p>
	Siehe auch &quot;Neutitschein&quot;.</p>
",1
21,,1049,Amisch,,,,1,2,,,,,,,,,,,,,,"<p>
	Ein Ort A. konnte durch den Abgleich mit bestehenden Ortsnormdatenbanken und die Recherche in topographischen Verzeichnissen nicht nachgewiesen werden.</p>
<p>
	Evtl. k&ouml;nnte es sich um eine Verballhornung des Ortes Ameis (Nieder&ouml;sterreich) handeln?</p>
",1
22,241,971,Ammergau,Ammergau,,,"1
2",1,9,2,"KWNB: Ammergaw auß Bayrn
AMP: Ambergau, Amergau",6,5,2,2,N 47° 35' 53'',E 11° 4' 0'',3,8,11,"Der A. liegt an der Ammer -> Isar -> Donau. 
Für den Floßtransport war jedoch nicht die Ammer, sondern die Loisach - beides Nebenflüsse der Isar - von Bedeutung. Die Loisach ist bereits ab Garmisch mit Flößen befahrbar. NEWEKLOWSKY, Schiffahrt, 565f. 

Der A. lag an einer wichtigen Verbindung zwischen Venedig und Augsburg, weshalb hier Fuhrleute bis ins 18. Jahrhundert im Rottfuhrwesen aktiv waren.","<p>
	A. wird synonym mit &quot;Ammertal&quot; (siehe dort) verwendet. In enger Verbidnung steht auch der Ort &quot;Ettal&quot; (siehe auch dort).</p>
<p>
	Der Hauptort des sich zwischen Graswang/Ettal und Bad Kohlgrub erstreckenden A.s ist <a href=""http://www.historischer-verein.de/ortsgeschichte.html"" target=""_blank"">Oberammergau</a> (siehe auch dort).</p>
<p>
	F&uuml;r die Koordinaten wurde &quot;Oberammergau&quot; als Bezugspunkt gew&auml;hlt.</p>
<p>
	Wichtig f&uuml;r den A. waren die Produktion und der Vertrieb von Holzschnitzereien und anderen geistlichen Waren.</p>
",1
23,,972,Ammertal,Ammertal,,,1,1,9,2,Ammerthall,6,5,2,2,N 47° 35' 53'',E 11° 4' 0'',3,8,11,"Das A. liegt an der Ammer -> Isar -> Donau.
Für den Floßtransport war jedoch nicht die Ammer, sondern die Loisach - beides Nebenflüsse der Isar - von Bedeutung. Die Loisach ist bereits ab Garmisch mit Flößen befahrbar. NEWEKLOWSKY, Schiffahrt, 565f. 

Das A. lag an einer wichtigen Verbindung zwischen Venedig und Augsburg, weshalb hier Fuhrleute bis ins 18. Jahrhundert im Rottfuhrwesen aktiv waren.","<p>
	A. wird hier synonym mit &quot;Ammergau&quot; (Hauptort: <a href=""http://www.historischer-verein.de/ortsgeschichte.html"" target=""_blank"">Oberammergau</a>)&nbsp; verwendet (siehe auch dort), d.h. es steht f&uuml;r das Tal und nicht f&uuml;r den Ort &quot;Ammerthal&quot; (bei Amberg/Oberpfalz). In enger Verbidnung steht auch der Ort &quot;Ettal&quot; (siehe auch dort).</p>
<p>
	F&uuml;r die Koordinaten wurde &quot;Oberammergau&quot; als Bezugspunkt gew&auml;hlt.</p>
",1
24,887,573,Amstetten,Amstetten,,,"1
2",1,12,1,"KWNB: Ambstetten, Ambstötten
AMP: Ambstötten",1,4,1,1,N 48° 7' 22'',E 14° 52' 19'',1,7,88,"A. liegt an der Ybbs -> Donau.
A. lag sowohl an der wichtigen südlichen Donautalstraße als auch an der Waidhofener Straße. CSENDES, Straßen Niederösterreichs, 226, 228, 297f.","<p>
	A. war bis 1710/34 eine reichsmittelbare Exklave des Hochstifts Passau im Land unter der Enns. Siehe dazu <a href=""https://www.historisches-lexikon-bayerns.de/Lexikon/Passau,_Hochstift:_Territorium_und_Struktur"" target=""_blank"">KNORRING, Passau</a>.</p>
<p>
	Seit dem 15. Jahrhundert war A. Teil des Waidhofener Proviantbezirks zur Versorgung der Arbeiter in der Eisenindustrie. K&Uuml;HNEL, Amstetten, 198.</p>
<p>
	&nbsp;</p>
",1
25,,875,Anges,,,,1,2,12,1,,1,4,1,1,,,1,7,,,"<p>
	Die einzige aus A. kommende Person in den KWNB, Matthias Schreibvogl, scheint sonst unter &quot;Ruppersthal&quot; (Nieder&ouml;sterreich) auf, weshalb der sonst nicht n&auml;her identifizierbare Ort A. Nieder&ouml;sterreich zugerechnet werden kann.</p>
",1
26,,77,Annaberg(-Buchholz),Annaberg-Buchholz,,,1,1,12,1,Annaberg,17,8,14,9,N 51° 32' 49'',E 6° 35' 13'',3,8,14,A. liegt an der Sehma -> Zschopau -> Freiberger Mulde -> Mulde -> Elbe. ,"<p>
	A. war ein internationales Zentrum der Spitzenkl&ouml;ppelei. Dementsprechend ist auch die Warenpalette der Kaufleute aus A. auf den Kremser M&auml;rkten. Au&szlig;erdem war A. (im s&auml;chsischen Erzgebirge gelegen) ein wichtiger Ort des Silberbergbaus.</p>
",1
27,,605,Apolda,Apolda,,,1,1,12,1,"Apoltaw, Appolda",63,8,15,10,N 51° 1' 34'',E 11° 30' 59'',3,8,14,A. liegt an der Ilm -> Saale -> Elbe.,"<p>
	A. wechselte w&auml;hrend des 17./18. Jahrhunderts h&auml;ufig seine Zugeh&ouml;rigkeit zwischen den s&auml;chsischen Herzogt&uuml;mern: Sachsen-Altenburg (1634 bis 1672), Sachsen-Jena (1672 bis 1691) und Sachsen-Weimar (1691 bis 1741). Da die Eintragungen in den KWNB in die Zeit zwischen 1699 und 1720 fallen, wurde Sachsen-Weimar als (historische) regionale Zuordnung gew&auml;hlt.</p>
<p>
	A. hatte &uuml;berregionale Bedeutung als Glockengie&szlig;erstadt sowie als Zentrum der Strumpfwirkerei.</p>
",1
28,,848,Arbesbach,Arbesbach,,,1,1,12,1,,1,4,1,1,N 48° 29' 36'',E 14° 57' 11'',1,7,24,A. liegt im Einzugsgebiet des Kamps -> Donau.,,1
29,953,705,Ardagger,Ardagger,,,"1
2",1,12,1,"KWNB: Arthackhen, Artackher
AMP: Artagger, Artackher, Artakher",1,4,1,1,N 48° 10' 6'',E 14° 49' 52'',1,7,1,"A. liegt an der Donau vor der Einfahrt in den ""Struden"". 
Der Markt bildete den Ausgangspunkt einer Verbindung von der Donau zur südlichen Donautalstraße bei Amstetten. 
Als Endpunkt der ""Waidhofener Straße"" galt A. als Teil der ""Eisenwurzen"". WERNER, Ardagger, 201. ","<p>
	A. verf&uuml;gte &uuml;ber eine eigene Schifferzunft (&quot;K&auml;lberfuhren&quot; nach Wien). WERNER, Ardagger, 201. Auch sind Handelsbeziehungen mit Regensburg bereits f&uuml;r das Hochmittelalter bekannt. CSENDES, Stra&szlig;en Nieder&ouml;sterreichs, 297.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
",1
30,,1055,Ardt,,,,1,2,,,,,,,,,,,,,,"<p>
	Zu A. gibt es nur einen Eintrag in den KWNB. Eine eindeutige Zuordnung ist nicht m&ouml;glich. Evtl. k&ouml;nnte es sich um eine K&uuml;rzung von &quot;Artstetten&quot;(?) handeln oder von &quot;Hardt&quot;(?) - z.B. Alt Hart / Neu Hart (<a href=""https://de.wikipedia.org/wiki/Star%C3%A9_Hobz%C3%AD"" target=""_blank"">Star&eacute; Hobz&iacute; / Nov&eacute; Hobz&iacute;</a>) in S&uuml;dm&auml;hren.</p>
",1
31,,556,Arnau,Hostinné,,,1,1,12,1,Arnaw,5,,25,16,N 50° 32' 26'',E 15° 43' 24'',2,4,14,A. liegt am Oberlauf der Elbe.,,1
32,,614,Arnsdorf,Oberarnsdorf,,Rossatz-Arnsdorf,1,1,12,1,Arnstorff,1,4,1,1,N 48° 21' 11'',E 15° 24' 51'',1,7,1,A. liegt an der Donau. ,"<p>
	Die Zuordnung zu A. erfolgte &uuml;ber den in den KWNB genannten Hafner Jakob Linsmaister [Zinsmeister], der in den A.er Taufb&uuml;chern nachweisbar ist. Linsmaister lebte in Oberarnsdorf. Die Koordinaten und weitere Angaben beziehen sich daher auch (wo m&ouml;glich) auf Oberarnsdorf, heute eine Katastralgemeinde von Rossatz-Arnsdorf.</p>
<p>
	Eine Identit&auml;t mit &quot;Armsdorf&quot; bzw. &quot;Arnstorf&quot; (beides in Bayern) ist daher f&uuml;r die Eintr&auml;ge in den KWNB auszuschlie&szlig;en.</p>
",1
33,1148,492,Artstetten,Artstetten,,Artstetten-Pöbring,"1
2",1,12,1,"KWNB: Ardtstetten
AMP: Ärttstötten in Unter Oesterreich",1,4,1,1,N 48° 14' 43'',E 15° 12' 20'',1,7,1,A. liegt knapp nördlich der Donau.,,1
34,4,921,Aschach (an der Donau),Aschach an der Donau,,,"1
2",1,12,1,"KWNB: Ascha, Aschach
AMP: Aschach, zumeist jedoch ""alhier"", ""im Orth"" u. Ä. ",10,4,8,5,N 48° 21' 52'',E 14° 1' 13'',1,7,1,A. liegt an der Donau.,,1
35,,417,Aschbach,,,,1,2,,,,,,,,,,,,,,"<p>
	Zwar gibt es einen dezidiert als A. bezeichneten Ort in Nieder&ouml;sterreich (&quot;Aschbach-Markt&quot;) jedoch k&ouml;nnte auch einer der Orte &quot;Aspach&quot; oder &quot;Aggsbach&quot; gemeint sein. Eine Unterscheidung ist hier aufgrund der Quellenlage derzeit nicht m&ouml;glich. Da die einzige Person aus A., Christoph Paul, auch unter &quot;Staatz&quot; und &quot;Wulzeshofen&quot; in den KWNB aufscheint, kann von einem Ort im n&ouml;rdlichen(?) Nieder&ouml;sterreich ausgegangen werden.</p>
",1
36,,655,Aspach,,,,1,2,,,,,,,,,,,,,,"<p>
	In der Fr&uuml;hen Neuzeit wird die Bezeichnung A. f&uuml;r unterschiedliche Orte verwendet. Zwar gibt es einige dezidiert als A. bezeichnete Orte in Nieder&ouml;sterreich (z. B. s&uuml;dlich von G&auml;nserndorf), jedoch wird die Schreibvariante &quot;Aspach&quot; auch f&uuml;r &quot;Aschbach&quot; und &quot;Aggsbach&quot; verwendet. Die gehandelten Waren sprechen f&uuml;r einen Ort in Nieder&ouml;sterreich.</p>
",1
37,,371,Aspang,Aspang-Markt,,,1,1,12,1,,1,4,1,1,N 47° 33' 0'',E 16° 5' 0'',1,7,100,"A. liegt am Zusammenfluss des Großen und des Kleinen Pestingbachs, den Quellflüssen der Pitten -> Leitha -> Donau. ","<p>
	Die Zuordnung ist eindeutig, da die einzige aus A. kommende Person in den KWNB, Johann Eder, in den Matrikelb&uuml;chern der Pfarre Unteraspang nachweisbar ist. (z.B. bei der <a href=""http://data.matricula-online.eu/de/oesterreich/wien/unteraspang/01%252C2-03/?pg=130"" target=""_blank"">Taufe seines Sohnes Franciscus 1721</a>)</p>
",1
38,,825,Asparn,Asparn an der Zaya,,,1,1,12,1,Aspern,1,4,1,1,N 48° 35' 0''	,E 16° 30' 0'',1,7,16,A. liegt an der Zaya -> March -> Donau.,"<p>
	Es handelt sich eindeutig um den Ort A. an der Zaya und nicht um &quot;Aspern&quot; als Teil des 22. Wiener Gemeindebezirks. Die fr&uuml;hneuzeitlichen Schreibformen &quot;Aspern&quot; und &quot;Asparn&quot; sind als synonym anzusehen.</p>
<p>
	Die in den KWNB genannte Familie &quot;Zippani&quot;/&quot;Zepanni&quot; ist in den Taufmatriken von A. an der Zaya mehrfach als &quot;<a href=""http://data.matricula-online.eu/de/oesterreich/wien/asparn-an-der-zaya/01-05/?pg=49"" target=""_blank"">Kotzenmacher</a>&quot; nachweisbar.</p>
",1
39,,1025,Au (in Niederösterreich?),,,,1,2,,,von der Aw,,,,,,,,,,,"<p>
	Die unspezifische Ortsbezeichnung A. scheint nur ein einziges Mal in den KWNB auf. Eine Zuordnung ist daher nicht m&ouml;glich. Auch die genannte Person, Adam Hengst, kommt unter keiner weiteren Ortsbezeichnung vor. Die gehandelte Ware (Hanf) l&auml;sst auf einen der A.-Orte in Nieder&ouml;sterreich schlie&szlig;en. Zu den vielen M&ouml;glichkeiten siehe die Eintr&auml;ge in <a href=""https://www.geonames.org/search.html?q=Au&amp;country=AT"" target=""_blank"">GeoNames</a> und <a href=""https://de.wikipedia.org/wiki/Au"" target=""_blank"">Wikipedia</a> bzw. WEIGL, Historisches Ortsnamenbuch, Bd. 1, 83-87.</p>
<p>
	&nbsp;</p>
",1
40,62,57,Augsburg,Augsburg,,,"1
2",1,12,1,"KWNB: Auggspurg, Augspurg
AMP: Augspurg",121,10,2,2,N 48° 22' 17'',E 10° 53' 54'',3,8,13,"A. liegt an den Flüssen Lech, Wertach und Singold -> Donau. 
A. liegt an den historischen Fernhandelsstraßen Via Claudia Augusta, Via Julia und Via Imperii.",,1
41,,1030,Auhardt,,,,1,2,,,,,,,,,,,,,,"<p>
	<span class=""fieldContent"">A. ist evtl. eine Verschreibung/phonetisch falsche Wiedergabe von &quot;Nachod&quot; (B&ouml;hmen), da Mitglieder der in den KWNB genannten Familie &quot;Dietrich&quot; sonst aus diesem Ort kommen und ein Ort A. nicht nachweisbar ist. </span></p>
",1
42,,418,Auspitz,Hustopeče,,,1,1,12,1,Auspüz,4,,23,14,N 48° 56' 27'',E 16° 44' 15'',2,4,16,A. liegt an der Štinkovka -> Thaya -> March -> Donau.,,1
