orte_literaturId,ortsId,literatur
17,24,"Harry KÜHNEL, Art. Amstetten (BH Amstetten), in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 197f."
18,24,"Peter CSENDES, Die Straßen Niederösterreichs im Früh- und Hochmittelalter (Dissertationen der Universität Wien 33, Wien 1969)."
19,29,"Peter CSENDES, Die Straßen Niederösterreichs im Früh- und Hochmittelalter (Dissertationen der Universität Wien 33, Wien 1969)."
20,29,"Ernst WERNER, Art. Ardagger Markt (BH Amstetten), in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 201."
21,225,"Christina MOCHTY, Marktgemeinde Göllersdorf, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 526–556."
22,811,"Christina MOCHTY, Marktgemeinde Göllersdorf, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 526–556."
23,258,"Gertrude LANGER-OSTRAWSKY, Marktgemeinde Guntersdorf, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 603-617."
24,277,"Konrad JEKL, Stadtgemeinde Hardegg, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 637–651."
25,710,"Konrad JEKL, Stadtgemeinde Hardegg, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 637–651."
26,283,"Elisabeth ULSPERGER, Marktgemeinde Haugsdorf, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 652–665."
27,496,"Karl GUTKAS, Art. Markersdorf an der Pielach (BH St. Pölten), in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 411f."
28,124,"Christina MOCHTY, Marktgemeinde Hohenwarth-Mühlbach am Manhartsberg, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 689–710, hier 691–693."
29,312,"Christina MOCHTY, Marktgemeinde Hohenwarth-Mühlbach am Manhartsberg, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 689–710, hier 694–697."
30,312,"Walter FITTNER, Art. Hohenwarth (BH Hollabrunn), in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 324f."
31,529,"Christina MOCHTY, Marktgemeinde Hohenwarth-Mühlbach am Manhartsberg, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 689–710, hier 697–702."
32,314,"Andreas KUSTERNIG–Max WELTIN, Stadtgemeinde Hollabrunn, in: Vergangenheit und Gegenwart. Der Bezirk Hollabrunn und seine Gemeinden, hg. von Ernst BEZEMEK–Willibald ROSNER (Hollabrunn 1993) 711–762."
33,49,"Hugo WECZERKA, Art. Beneschau, in: Schlesien, hg. von DEMS. (Handbuch der Historischen Stätten = Kröners Taschenausgabe 316, Stuttgart 1977) 17f."
34,49,"Jaroslav PÁNEK, Art. Beneschau, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 27–29."
35,71,"Helmut TEUFEL, Art. Boskowitz, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 62."
36,74,"W. C. W. BLUMENBACH, Neueste Landeskunde von Oesterreich unter der Ens, Bd. 2 (2. Aufl. Güns 1835) 380."
37,55,"Hugo WECZERKA, Art. Beuthen O. S., in: Schlesien, hg. von DEMS. (Handbuch der Historischen Stätten = Kröners Taschenausgabe 316, 2. Aufl. Stuttgart 2003) 20–25."
38,20,"Robert LUFT, Art. Neutitschein, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 408–410, bes. 408."
39,558,"Robert LUFT, Art. Neutitschein, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 408–410."
40,103,"Rainer BENDEL–Thomas KRZENCK, Art. Deutschbrod, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 107–109."
41,68,"Eberhard HOLTZ, Art. Böhmisch Aicha, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 44."
42,108,"Hans-Jürgen BÖMELBURG, Art. Dobruška, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 114."
43,109,"Vladimír SPÁČIL, Art. Dolein, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 114f."
44,123,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich, Bd. 2 (Wien 1965)."
45,131,"Ivan ŠTRAHA, Art. Eibenschitz, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POlÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 126f."
46,135,"Hans Peter ZELFEL, Landeshauptstadt Eisenstadt. Stadt mit eigenem Statut (Freistadt), in: Die Städte des Burgenlandes, red. von Ernő DEÁK (Österreichisches Städtebuch 2, 2. Aufl. Wien 1996) 59–98."
47,136,"Ivan ŠTRAHA, Art. Eiwanowitz in der Hanna, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 132f."
48,138,"Karlheinz BLASCHKE (Hg.), Historisches Ortsverzeichnis von Sachsen (Quellen und Materialien zur sächsischen Geschichte und Volkskunde 2, Neuausg. Leipzig 2006)."
49,147,"Dehio-Handbuch. Die Kunstdenkmäler Österreichs. Niederösterreich südlich der Donau, Teil 1, A bis L (Horn–Wien 2003) 413–419, hier 413f."
52,149,"Erika SCHUSTER, Verzeichnis der Riednamen im Bereich Krems=Stein, in: Das Waldviertel 15 (1966) 18f."
54,165,"Achim Thomas HACK, Ein anonymer Romzugsbericht von 1452 (Ps-Enenkel) mit den zugehörigen Personenlisten (Teilnehmerlisten, Ritterschlagslisten, Römische Einzugsordnung) (Zeitschrift für deutsches Altertum un deutsche Literatur Beih. 7, Stuttgart 2007)."
55,165,"Jaroslav PÁNEK, Art. Wlašim, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 668f."
56,171,"Gerhard WEBERSINN, Art. Frankenstein, in: Schlesien, hg. von Hugo WECZERKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 316, Stuttgart 1977) 95–99, hier 98."
57,882,"Friedrich ROSENKRANZ, Die Edelkastanie in Niederösterreich, in: Österreichische Botanische Zeitschrift Jg. 72/Nr. 11–12 (1923) 377–393."
58,189,"Johann Gottfried SOMMER, Das Königreich Böhmen. Statistisch-topographisch dargestellt, Bd. 2: Bunzlauer Kreis (Prag 1834) 273f."
59,195,"Reinhold GABRIEL–Raimund KIENNAST–Artur LEITNER, Handel im Wandel. Handelsmuseum Gars am Kamp (Horn o. J.)."
60,207,"Hans-Jürgen BÖMELBURG, Art. Geiersberg, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 162."
61,213,"Gerhard WEBERSINN–Hugo WECZERKA, Art. Glatz, in: Schlesien, hg. von Hugo WECZERKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 316, 2. Aufl. Stuttgart 2003) 116–123."
62,234,"Johann Gottfried SOMMER, Das Königreich Böhmen. Statistisch-topographisch dargestellt, Bd. 2: Bunzlauer Kreis (Prag 1834) 273f."
63,245,"Karl DIENSTL, Groß-Gerungs. Politischer Bezirk Zwettl, in: Die Städte Niederösterreichs 1, red. von Friederike GOLDMANN (Österreichisches Städtebuch 4/1, Wien 1988) 287–297."
64,246,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 56."
65,513,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 56 [Großmeseritsch], 117 [Wallachisch-Meseritsch]."
66,44,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 81f."
67,249,"Karen LAMBRECHT, Art. Groß-Ullersdorf, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 178f."
68,252,"Hans-Jürgen BÖMELBURG, Art. Grulich, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 180f."
69,272,"Alfred MARKS, Das Leinengewerbe und der Leinenhandel im Lande ob der Enns von den Anfängen bis in die Zeit Maria Theresias, in: Jahrbuch des Oberösterreichischen Musealvereins 95 (1950) 169–286."
70,281,"Ralph MELVILLE, Art. Hořepnik, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÌVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 201."
72,314,"Friederike GOLDMANN, Art. Hollabrunn. Politischer Bezirk Hollabrunn, in: Die Städte Niederösterreichs 2, red. von DERS.–Evelin OBERHAMMER–Johanne PRADEL (Österreichisches Städtebuch 4/2, Wien 1976) 83–97."
73,570,"Friederike GOLDMANN, Art. Hollabrunn. Politischer Bezirk Hollabrunn, in: Die Städte Niederösterreichs 2, red. von DERS.–Evelin OBERHAMMER–Johanne PRADEL (Österreichisches Städtebuch 4/2, Wien 1976) 83–97."
75,317,"Thomas KLETEČKA, Art. Holleschau, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 199."
76,317,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel-Aviv 1974) 57–60."
77,330,"Hans HALM, Österreich und Neurußland 1: Donauschiffahrt und -handel nach dem Südosten 1718–1780 (Breslau 1943) 105."
78,75,"Manfred BRANDL, Art. Braunau am Inn. Politischer Bezirk Braunau am Inn, in: Die Städte Oberösterreichs, red. von Herbert KNITTLER (Österreichisches Städtebuch 1, Wien 1968) 95–106."
79,75,"Sebastian HIERETH, Geschichte der Stadt Braunau am Inn 2 (Braunau/Inn 1973) bes. 243–257."
80,1019,"J. N. WILDAUER, Adressen-Buch der Handlungs-Gremien und Fabriken der kais. kön. Haupt- und Residenzstadt Wien dann mehrerer Provinzialstädte für das Jahr 1847 (Wien o.J.)."
81,635,"Eberhard HOLTZ, Art. Polna, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 465f."
82,75,"Karin SCHAMBERGER, Aspekte der Wirtschaftsentwicklung der Stadt Braunau am Inn vom Mittelalter bis zum Übergang des Innviertels an Österreich 1779. Handwerk – Handel – Städtische Versorgung (Diss. Salzburg 2000)."
83,78,"Österreichischer Städteatlas: Bruck an der Mur, http://mapire.eu/oesterreichischer-staedteatlas/bruck-an-der-mur/#OV_8_3_5."
84,786,"Renate HAHN-Otto HAHN (Hg.), Sonneberger Spielzeug - Made in Judenbach. 300 Jahre Spielzeugherstellung an der alten Handelsstraße (Studien zur Volkskunde in Thüringen 3, Münster u.a. 2010)."
85,359,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 67f."
86,45,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 9f."
87,588,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 10."
88,62,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 10f."
89,71,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 12-18."
90,92,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 42f."
91,131,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 45-48."
92,206,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 54."
93,221,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 54-56."
95,341,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974)."
96,384,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 69f."
97,402,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 71-77."
98,440,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 77."
99,478,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974)."
100,480,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974)."
101,517,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 89-91."
102,687,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 91."
103,558,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 92."
104,563,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 92-95."
105,581,"Vladimír SPÁČIL–Franz MACHILEK, Art. Olmütz, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 420–431. "
106,662,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 105."
107,631,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 101-103."
108,657,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 103-105."
109,855,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974)."
110,856,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974)."
111,866,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 113-116."
112,979,"Franz MACHILEK, Art. Znaim, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 688–695."
113,102,"Peter HOHENSINNER–Peter WIESINGER, Die Ortsnamen der politischen Bezirke Perg und Freistadt (Östliches Mühlviertel) (Ortsnamenbuch des Landes Oberösterreich 2, Wien 2003) 18."
114,149,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 2 (Wien 1965) 162."
115,156,"W.C.W. BLUMENBACH, Neueste Landeskunde von Oesterreich unter der Ens 2 (Güns 1835)."
116,186,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 2 (Wien 1965)."
117,36,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 1 (Wien 1964) 6f., 72-74."
118,35,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 1 (Wien 1964) 72-74."
120,256,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 2 (Wien 1965)."
121,259,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 2 (Wien 1965)."
122,278,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 3/1 (Wien 1970) 50."
124,291,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 3/1 (Wien 1970) 81."
125,298,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 3/1 (Wien 1970) 93."
126,330,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 3/2 (Wien 1970) 185."
127,389,"Fritz GAUSE, Die Geschichte der Stadt Königsberg in Preussen 2: Von der Königskrönung bis zum Ausbruch des Ersten Weltkrieges (Ostmitteleuropa in Vergangenheit und Gegenwart 10/II, Köln–Graz 1968)."
128,410,"Thomas WINKELBAUER, Gundaker von Liechtenstein als Grundherr in Niederöstererreich und Mähren (Fontes Rerum Austriacarum III/19, Wien-Köln-Weimar 2008)."
129,418,"Hugo WECZERKA, Art. Landeshut, in: Schlesien, hg. von DEMS. (Handbuch der Historischen Stätten = Kröners Taschenausgabe 316, Stuttgart 1977) 261–264."
130,420,"Hans-Jürgen BÖMELBURG, Art. Landskron, in: Böhmen und Mähren, hg. von Joachim BAHLCKE–Winfried EBERHARD–Miloslav POLÍVKA (Handbuch der Historischen Stätten = Kröners Taschenausgabe 329, Stuttgart 1998) 317–319."
131,423,"Peter RAUSCHER, Langenlois – Eine jüdische Landgemeinde in Niederösterreich im Zeitalter des Dreißigjährigen Krieges (Schriftenreihe des Waldviertler Heimatbundes 44, Horn–Waidhofen an der Thaya 2004)."
133,427,"Hugo GOLD, Gedenkbuch der untergegangenen Judengemeinden Mährens (Tel Aviv 1974) 78f."
134,436,"Julius STRNADT, Das Land im Norden der Donau. Mit einer historischen Karte, in: Archiv für österreichische Geschichte 94 (1907) 83-310."
135,456,"Friedrich ROSENKRANZ, Die Edelkastanie in Niederösterreich, in: Österreichische Botanische Zeitschrift Jg. 72/Nr. 11–12 (1923) 377–393."
136,1300,"Karl FILSER, Die Rolle der Lech- und Illerflößerei im Handelsverkehr zwischen Tirol und Schwaben, in: Schwaben – Tirol [...] Bd. 2: Beiträge, hg. von Wolfram BAER–Pankraz FRIED (Rosenheim 1989) 233–239."
137,1300,"Ernst NEWEKLOWSKY, Die Schiffahrt und Flößerei im Raume der oberen Donau, Bd. 1 (Schriftenreihe des Institutes für Landeskunde von Oberösterreich 5, Linz 1952) 545–547."
138,1300,"Hans-Heinrich VANGEROW, Handel und Wandel auf der Donau von Ulm bis Wien. Augsburg und die schwäbischen Donau-, Iller- und Lechorte in den Jahren 1583 bis 1651. Zeitschrift des Historischen Vereins für Schwaben 105 (2013) 101–161."
139,2058,"Georg GRÜLL, Beiträge zur Geschichte der Brände in Oberösterreich, in: Jahrbuch des Oberösterreichischen Musealvereines 110 (1965) 267-299, hier 295."
140,29,"Ignaz CHALAUPKA, Das Collegiatstift Ardagger, in: Archiv für Diöcesan=Geschichte des Bisthums St. Pölten in der theologischen Quartalsschrift ""Hippolytus""  6 (1863)  83-100."
141,34,"Siehe die Bibliographie des Projekts ""Der Donauhandel""."
142,39,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 1 (Wien 1964)."
143,40,"Zur Handels- und Wirtschaftsgeschichte A.s siehe die umfangreiche Bibliographie auf der Homepage von ""Der Donauhandel"". "
144,1425,"Johann von CSAPLOVICS (Hg.), Topographisch=statistisches Archiv des Königreichs Ungern, Bd. 1 (Wien 1821)."
145,1300,"Josef BÄRTLE, Die Illerflößerei. Ein Beitrag zur Heimatgeschichte und Volkskunde des Illertales (Illertissen 1932) passim. "
146,22,"Ernst NEWEKLOWSKY, Die Schiffahrt und Flößerei im Raume der oberen Donau, Bd. 1 (Schriftenreihe des Institutes für Landeskunde von Oberösterreich 5, Linz 1952)."
147,23,"Ernst NEWEKLOWSKY, Die Schiffahrt und Flößerei im Raume der oberen Donau, Bd. 1 (Schriftenreihe des Institutes für Landeskunde von Oberösterreich 5, Linz 1952)."
148,72,"Andrea BONOLDI, Handel und Kreditwesen zwischen Italien und Deutschland: Die Stadt Bozen und ihre Messen vom 13. bis ins 19. Jahrhundert. Scripta Mercaturae 42/1 (2008) 9–26."
149,72,"Franz MATHIS, Handelsgüter und Handelsströme durch Tirol, in: Bozen im Messenetz Europas (17.–19. Jahrhundert)/Bolzano nel sistema fieristico europeo (secc. XVII–XIX), hg. von Andrea BONOLDI–Markus A. DENZEL (Bozen 2007) 123-133."
150,1407,"Hans MAIER–Volker PRESS (Hg.), Vorderösterreich in der frühen Neuzeit (Sigmaringen 1989)."
151,1407,"Friedrich METZ (Hg.), Vorderösterreich. Eine geschichtliche Landeskunde (Freiburg, 4. Aufl. 2000)."
152,1407,"Franz QUARTHAL, Vorderösterreich, in: Handbuch der baden-württembergischen Geschichte, Tlbd. 1/2: Vom Spätmittelalter bis zum Ende des Alten Reiches, hg. von Meinrad SCHAAB–Hansmartin SCHWAZMAIER (Stuttgart 2000) 587–780."
153,1364,"Johann Daniel Georg von MEMMINGER, Beschreibung des Oberamts Münsingen (Stuttgart-Tübingen 1825)."
154,80,"Friedrich Wilhelm WEISKERN, Topographie von Niederösterreich [...], Bd. 1 (Wien 1778)."
156,86,"Heinrich WEIGL, Historisches Ortsnamenbuch von Niederösterreich 1 (Wien 1964) 278ff."
157,1455,"Wilhelm RAPP, Die Illerflösserei, in: Geschichte des Dorfes Fellheim (Fellheim 1960) 57."
158,97,"Johann Gottfreid SOMMER, Das Königreich Böhmen; statistisch=topographisch dargestellt, Bd. 14: Saazer Kreis (Prag 1846) XXI-XXIII, 123, 128."
159,1138,"Joseph Anton EISENMANN-Carl Friedrich HOHN, Topo=geographisch=statistisches Lexicon vom Königreiche Bayern [...] (Erlangen 1831) 262."
160,1181,"Karl FILSER, Die Rolle der Lech- und Illerflößerei im Handelsverkehr zwischen Tirol und Schwaben, in: Schwaben – Tirol [...] Bd. 2: Beiträge, hg. von Wolfram BAER–Pankraz FRIED (Rosenheim 1989) 233–239."
161,1181,"Ernst NEWEKLOWSKY, Die Schiffahrt und Flößerei im Raume der oberen Donau, Bd. 1 (Schriftenreihe des Institutes für Landeskunde von Oberösterreich 5, Linz 1952) 545–547."
162,1181,"Hans-Heinrich VANGEROW, Handel und Wandel auf der Donau von Ulm bis Wien. Augsburg und die schwäbischen Donau-, Iller- und Lechorte in den Jahren 1583 bis 1651. Zeitschrift des Historischen Vereins für Schwaben 105 (2013) 101–161."
163,1181,"Josef BÄRTLE, Die Illerflößerei. Ein Beitrag zur Heimatgeschichte und Volkskunde des Illertales (Illertissen 1932). "
164,1300,"Gerhard KÖBLER, Historisches Lexikon der deutschen Länder. Die deutschen Territorien vom Mittelalter bis zur Gegenwart (München 7. Aufl. 2007)."
165,1234,"Gerhard KÖBLER, Historisches Lexikon der deutschen Länder. Die deutschen Territorien vom Mittelalter bis zur Gegenwart (München 7. Aufl. 2007) 263."
166,1234,"Karl FILSER, Die Rolle der Lech- und Illerflößerei im Handelsverkehr zwischen Tirol und Schwaben, in: Schwaben – Tirol [...] Bd. 2: Beiträge, hg. von Wolfram BAER–Pankraz FRIED (Rosenheim 1989) 233–239."
167,1234,"Ernst NEWEKLOWSKY, Die Schiffahrt und Flößerei im Raume der oberen Donau, Bd. 1 (Schriftenreihe des Institutes für Landeskunde von Oberösterreich 5, Linz 1952) 545–547."
